threatTypes,tags,name,description,confidence,revoked,validFrom,validUntil,tlpLevel,severity,observableType,observableValue
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,saaraenterprise.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,brickcityshop.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,dancevida.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,nyc3.digitaloceanspaces.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,amazonsuperlinks.com
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,dhyuthi.in
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,chefmealkits.co.uk
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,reboref.com.ar
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,cruceshotelboutique.com.ar
Phishing,"[dancevida, phishing,https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com ]",dancevida phish kit domains,Entity appears in host pairs for dancevida which is involved in phishing to see the results in MDTI visit https://prod.southcentralus.ti.trafficmanager.net/search/data/host-pairs?query=dancevida.com,100,,2022-07-11T19:30:23.868Z,2023-01-08T00:29:56.749Z,white,5,domain-name,aitchdesign.com
